course_id,instructor,instructor_rating
6754,Bryan Yoon,3.37
6752,Rebecca Fischer,3.83
6753,Nadja Drabon,4.33
6753,David Johnston,
6753,Javier Ortega-Hernandez,4.33
6731,Eli Tziperman,4.26
6732,Roger Fu,3.18
6733,Scot Martin,
6734,Eli Tziperman,4.28
6735,Daniel Jacob,4.8
6739,Elsie Sunderland,4.15
6740,Frank Keutsch,
6742,Ann Pearson,4.22
6746,Robin Wordsworth,
6747,Jerry Mitrovica,4.54
6749,Ann Pearson,4.22
8096,Jeremy Bloxham,2.69
8096,Brendan Meade,2.69
6632,Landon (Yuxiao) Du,5.0
6632,Landon (Yuxiao) Du,4.75
6632,Landon (Yuxiao) Du,4.86
6632,Landon (Yuxiao) Du,4.13
6632,Landon (Yuxiao) Du,4.86
6620,David Sena,5.0
6622,Bin Yang,4.89
6622,Bin Yang,4.7
6622,Bin Yang,
6623,Jie Ying,4.87
6623,Jie Ying,
6623,Jie Ying,5.0
6625,Jing Cai,4.9
6625,Jing Cai,4.88
6625,Jing Cai,4.92
6627,Fangzheng Zhang,5.0
6627,Fangzheng Zhang,
6630,Dan Wang,4.0
6634,Michael Szonyi,
6637,Michael Puett,5.0
6638,Michael Szonyi,
6643,David Wang,4.78
6644,Jie Li,
6755,Alexander Zahlten,4.9
6757,Alexander Zahlten,4.75
6765,Melissa McCormick,4.31
6758,Ryuichi Abe,5.0
6759,Ryuichi Abe,
6760,Shigehisa Kuriyama,4.59
6762,Daniel Koss,4.38
6764,Peter Bol,4.88
6764,Wai-Yee Li,
7602,Yuko Kageyama-Hunt,4.88
7602,Yuko Kageyama-Hunt,4.0
7602,Yuko Kageyama-Hunt,5.0
7595,Miki Miyagawa,5.0
7595,Miki Miyagawa,4.83
7597,Tomoko Graham,5.0
7598,Naomi Asakura,4.83
7600,Wesley Jacobsen,4.83
7604,David Atherton,5.0
7605,David Atherton,
7613,Jee Hyun Lee,5.0
7614,Hi-Sun Kim,4.86
7614,Hi-Sun Kim,
7607,Ahsil Noh,4.75
7608,Hi-Sun Kim,4.6
7610,Jee Hyun Lee,4.57
8291,Binh Ngo,4.86
6780,Anne Le Brun,3.67
6781,Jason Furman,
6781,David Laibson,4.12
6781,David Martin,4.12
6842,Gregory Bruich,
6842,Raj Chetty,4.13
6845,Thomas Baranga,4.44
6845,,4.44
6845,John Felter,4.0
6845,,4.0
6845,John Felter,4.63
6845,,
6845,,5.0
6845,Andres Maggi,5.0
6845,,4.75
6845,Chris Walker,4.75
6845,Eleanor Krause,4.2
6845,,4.2
6845,Ronak Jain,4.9
6845,,4.9
6845,Marcos Barrozo,4.43
6845,,4.43
6845,Keshav Choudhary,4.0
6845,,4.0
6845,,
6845,Aticus Peterson,4.8
6845,,
6845,Felix Poege,4.0
6845,,
6845,James Rice,
6845,Innessa Colaiacovo,4.1
6845,,4.1
6846,Tomasz Strzalecki,4.67
6847,Amanda Pallais,4.8
6849,Kiran Gajwani,4.75
6849,,4.83
6849,,4.75
6849,,4.33
6849,,4.5
6849,Matthew Basilico,5.0
6849,,5.0
6767,Marc Melitz,3.42
6769,Christopher Foote,3.42
6771,Paul Willen,3.29
6772,Roland Fryer,5.0
6775,Matthew Rabin,3.33
6776,Robert Neugeboren,3.5
6783,Gregory Bruich,3.81
6785,David Yang,4.7
6786,Matthew Basilico,4.01
6789,Andrei Shleifer,4.4
6795,Jeffrey Frankel,4.43
6796,Robin Lee,
6798,Robert Stavins,3.91
6800,Daniel Bergstresser,3.82
6801,Karen Dynan,4.22
6804,Jerry Green,3.64
6804,John Hatfield,3.64
6806,Adrien Bilal,4.44
6806,Xavier Gabaix,4.44
6806,Ludwig Straub,4.44
6808,Giuseppe Lopomo,3.65
6809,David Laibson,4.39
6809,Andrei Shleifer,4.39
6811,Yannai Gonczarowski,4.33
6812,Scott Kominers,4.64
6814,Tim Layton,4.0
6816,Yuan Gao,
6817,Winnie van Dijk,4.14
6819,Gautam Rao,4.71
6822,Gabriel Chodorow-Reich,4.6
6824,Nathaniel Hendren,4.4
6825,David Cutler,5.0
6826,Kenneth Rogoff,5.0
6826,Jeremy Stein,5.0
6830,Shai Bernstein,
6830,Josh Lerner,4.38
6832,Amanda Pallais,4.6
6834,,
6834,,
6836,Xavier Gabaix,4.75
6836,Ludwig Straub,4.75
6837,Benjamin Enke,5.0
6841,,
6841,,
6841,,
6852,Paul Harris,3.86
6853,Beth Simpson,5.0
6890,Pia Sorensen,4.76
6903,Chris Lombardo,
6903,Marko Loncar,
6905,Aidin Panahi,3.03
6908,Chris Lombardo,
6909,Josh Lerner,4.67
6909,Josh Lerner,4.56
6911,Paul Bottino,4.5
6913,Federico Capasso,
6913,Kelly Miller,3.13
6913,,3.13
6913,,3.13
6913,,
6913,,3.47
6913,Kit Parker,
6913,Jeffrey Paten,
6866,Scot Martin,
6867,Petros Koumoutsakos,2.71
6870,Yue Lu,
6873,Todd Zickler,3.38
6877,Evelyn Hu,4.86
6877,Marko Loncar,
6879,Frans Spaepen,2.4
6880,Xin Li,4.71
6882,Na Li,4.6
6883,Samir Mitragotri,
6885,Michael Aziz,4.5
6886,David Mooney,4.1
6887,Michael Aziz,4.5
6888,Woodward Yang,4.36
6892,Maurice Smith,4.13
6894,Jia Liu,3.56
6898,Evelyn Hu,4.86
6898,Marko Loncar,
6900,Alan Maccormack,4.44
6900,Russell J Wilcox,
6902,Daniel Needleman,4.73
6902,Suzanne Smith,4.73
6963,Jill Abramson,4.75
6964,Musa Syeed,5.0
6965,Sam Marks,4.75
6967,Joshua Bell,5.0
6969,Joan Kane,3.6
6970,Tracy K. Smith,4.33
6972,Joshua Bell,4.86
6978,Jill Abramson,
6980,Sam Marks,4.89
6982,Musa Syeed,4.88
6983,Molly Antopol,4.7
6983,Molly Antopol,5.0
6985,Meng Jin,4.78
6986,Meng Jin,4.91
6990,Gish Jen,4.6
6992,Jamaica Kincaid,5.0
6994,Russell Rymer,4.88
6995,Russell Rymer,4.91
6996,Susan Faludi,
6937,James Simpson,4.57
6937,Stephanie Burt,4.5
6945,Jesse McCarthy,4.73
6951,Deidre Lynch,4.67
6952,Homi Bhabha,
6953,James Wood,4.85
6954,Derek Miller,4.6
6955,Katie Daily,4.8
6957,Beth Blum,4.33
6959,Matthew Ocheltree,4.6
6959,Matthew Ocheltree,4.6
6959,Matthew Ocheltree,4.6
6959,Matthew Ocheltree,4.6
6959,Matthew Ocheltree,4.6
6916,Vidyan Ravinthiran,4.4
6916,Leah Whittington,4.4
6918,Alan Niles,4.63
6919,Alan Niles,
6921,Tara Menon,4.81
6923,Derek Miller,4.55
6924,Stephanie Burt,5.0
6925,Tracy K. Smith,4.85
6927,Ju Yon Kim,
6928,Philip Fisher,4.58
6931,Namwali Serpell,4.42
6934,Sarah Dimick,5.0
6938,James Simpson,4.83
6940,Henry Gates,4.89
6943,Homi Bhabha,4.83
7008,Steven Wofsy,3.37
7008,Bryan Yoon,3.37
6997,Eli Tziperman,4.26
6998,Roger Fu,3.18
6999,Eli Tziperman,4.28
7000,Daniel Jacob,4.8
7004,Elsie Sunderland,4.15
7005,Frank Keutsch,
7011,Alan Hoelzel,3.67
7015,Daniel Schrag,
7016,George Baker,
7009,Ken Thomas,4.55
6858,Mayra Rivera,5.0
6862,Americo Mendoza-Mori,4.81
6863,Americo Mendoza-Mori,3.95
6864,Ida Yalzadeh,5.0
6855,Eleanor Craig,4.78
7020,Sheza Alqera,4.0
7020,Sheza Alqera,4.31
7020,Christina Becker,3.69
7020,Christina Becker,3.54
7020,Peter Becker,3.33
7020,Peter Becker,
7020,Jacob Betz,4.86
7020,Collier Brown,4.38
7020,Kelsey Quigley,4.5
7020,Matthew Cole,4.08
7020,Matthew Cole,
7020,Peter Gilbert,4.36
7020,Peter Gilbert,4.2
7020,Alexandra Gold,4.64
7020,Alexandra Gold,4.83
7020,Eliza Holmes,
7020,Eliza Holmes,4.08
7020,Richard Martin,3.15
7020,Ross Martin,4.86
7020,Ross Martin,
7020,Keating McKeon,4.46
7020,Keating McKeon,4.5
7020,Rachel Meyer,3.57
7020,Courtney Miller,4.92
7020,Courtney Miller,
7020,David Nee,4.6
7020,David Nee,
7020,Jen Nguyen,4.27
7020,Jen Nguyen,4.45
7020,Brian Pietras,3.64
7020,Brian Pietras,3.15
7020,Emilie Raymer,4.86
7020,Emilie Raymer,
7020,Hannah Rosefield,3.31
7020,Ben Roth,4.0
7020,Erin Routon,4.82
7020,Erin Routon,4.64
7020,Sparsha Saha,4.73
7020,Adam Scheffler,
7020,Adam Scheffler,3.89
7020,Ian Shank,4.23
7020,Ian Shank,4.8
7020,Gillian Sinnott,4.0
7020,Gillian Sinnott,3.89
7020,Julia Tejblum,4.42
7020,Hudson Vincent,4.93
7020,Hudson Vincent,4.5
7020,Jeffrey Wilson,4.36
7020,Jeffrey Wilson,3.88
7020,Lusia Zaitseva,3.6
7020,Willa Brown,4.4
7020,Kaara Peterson,3.9
7020,Kaara Peterson,4.0
7020,Maura Roosevelt,4.25
7020,Mande Zecca,
7020,Mande Zecca,4.77
7020,Isabel Lane,4.33
7020,Isabel Lane,3.77
7020,Tracy Strauss,3.75
7020,Tracy Strauss,3.4
7020,Eileen O'Connor,
7020,Maleah Fekete,3.0
7020,Maleah Fekete,3.6
7020,Jessie Schwab (she/her),3.55
7020,Jessie Schwab (she/her),2.73
7020,Patricia Bellanca,
7020,Ryan Napier,4.67
7020,Ryan Napier,4.36
7020,Katie Baca,
7020,Tad Davies,
7020,Margaret Deli,4.25
7020,Margaret Deli,4.71
7020,Jonah Johnson,4.71
7020,Jane Rosenzweig,
7020,Kristen Starkowski,3.86
7020,Kristen Starkowski,3.83
7020,Adrienne Tierney,4.38
7020,Amy Hanes,4.67
7020,Elliott Turley,4.0
7020,Elliott Turley,4.17
7020,James Herron,4.67
7020,Peter Vilbig,4.25
7020,Peter Vilbig,3.86
7020,Amy Hanes,4.4
7020,Fiore Sireci,4.13
7020,Fiore Sireci,4.4
7022,Erika Bailey,
7022,David Carter,4.55
7022,David Carter,4.0
7022,Katharine Clarke,4.92
7022,Katharine Clarke,
7022,Lee Nishri,5.0
7022,Lee Nishri,4.92
7022,Zachary Stuart,5.0
7022,Zachary Stuart,5.0
7028,Lowell Brower,4.63
7025,Lowell Brower,4.59
7026,Felicity Lufkin,4.33
7055,John Wakeley,4.78
7058,Brian Farrell,4.57
7061,Jerome Groopman,4.8
7062,C. Vafa,4.25
7063,Daniel Schacter,4.2
7073,George Demetri,4.71
7076,Carrie Lambert-Beatty,3.75
7078,Adriaan Lanni,
7079,Johanna Liander,4.57
7083,Elie Ofek,4.92
7084,Ofrit Liviatan,4.29
7086,Alan Garber,4.5
7093,Charles Nelson,4.75
7094,N. Mankiw,4.9
7096,Arthur Applbaum,
7098,Emily Balskus,
7101,Peter Girguis,4.88
7104,Lauren Williams,4.83
7108,Cora Dvorkin,5.0
7109,Howard Georgi,5.0
7111,Aravinthan Samuel,4.5
7113,Hongkun Park,5.0
7118,Daniel Hartl,4.67
7126,David Lamberth,4.14
7133,Margaret Grasselli,4.57
7140,Phillip Howze,3.5
7144,Tomiko Brown-Nagin,3.9
7145,James Robson,4.71
7147,Sophus Reinert,
7151,Rob Willison,4.0
7153,Amy Alemu,
7160,Melani Cammett,4.08
7161,Ambrogio Camozzi Pistoja,3.48
7163,Lucas Stanczyk,3.88
7164,Andrew Gordon,4.0
7164,Erez Manela,4.0
7168,Douglas Finkbeiner,4.6
7168,Edward Hall,5.0
7169,Susanna Rinard,3.67
7170,Daniel Lieberman,3.98
7171,David Damrosch,4.0
7172,Daniel Carpenter,3.75
7175,Philip Sadler,4.82
7180,Joshua Greene,4.19
7181,Jie Li,4.35
7182,Jennifer Hochschild,2.67
7184,Roberto Mangabeira Unger,4.25
7184,Dani Rodrik,4.25
7186,Stephanie Sandler,3.86
7187,Sue Goldie,4.43
7188,Steven Hyman,
7189,William Kirby,4.04
7190,Dimitar Sasselov,
7195,Catherine McKenna,
7196,Jinah Kim,4.15
7196,Eugene Wang,4.15
7197,David Haig,3.95
7198,John Shaw,4.13
7199,Ali Asani,
7200,Dimiter Angelov,
7201,Gabriela Soto Laveaga,4.48
7208,Peter Manuelian,3.79
7209,Carter Eckert,4.73
7212,Brigitte Libby,4.39
7214,Matt Saunders,
7215,Orlando Patterson,3.88
7217,Kevin Madigan,4.57
7218,Christina Davis,3.91
7220,Mathias Risse,4.15
7221,Julie Reuben,4.13
7222,Venkatesh Murthy,
7223,Ajantha Subramanian,3.38
7224,Sarah Richardson,
7225,Roberto Mangabeira Unger,3.45
7225,Michael Puett,
7228,Elaine Scarry,4.05
7229,Mary Lewis,3.79
7233,Kaighin McColl,
7234,Sven Beckert,4.05
7235,Dan Smail,4.47
7236,Jay Harris,4.35
7237,Katie McLaughlin,
7239,Naomi Weiss,4.53
7240,Sam Evans,3.78
7240,Sheila Jasanoff,
7243,Linda Schlossberg,4.18
7245,Elizabeth Lunbeck,4.32
7251,,4.33
7252,,4.38
7252,,5.0
7252,Lisa Parkes,4.78
7261,,
7265,Peter Burgard,4.33
7266,Lisa Parkes,
7256,Alison Frank Johnson,4.9
7257,John Hamilton,4.96
7262,John Hamilton,4.86
8095,Agnes Broome,5.0
8094,Stephen Mitchell,5.0
8256,Agnes Broome,4.8
7268,Anupam Jena,
7269,Stephanie Kayden,4.61
7269,Michael VanRooyen,4.61
7270,David Cutler,3.58
7270,David Cutler,3.25
7271,Eric Beerbohm,3.96
7334,Stephen Chaudoin,4.0
7335,Adeline Lo,2.96
7336,Joeri Smits,2.71
