course_id,instructor,instructor_rating
3219,Henry Gates,3.89
3219,Evelyn Higginbotham,3.89
3237,Carla Martin,4.88
3221,Glenda Carpio,
3223,Carla Martin,
3224,Roberto Mangabeira Unger,4.0
3224,John Stauffer,4.0
3225,Daniel Agbiboa,4.71
3226,Daniel Agbiboa,
3227,Timothy Ogene,4.6
3228,Emily Greenwood,5.0
3230,Jesse McCarthy,
3232,Jean Comaroff,5.0
3233,Evelyn Higginbotham,5.0
3234,Jamaica Kincaid,
3239,,5.0
4229,,5.0
4269,,3.6
4430,,4.63
5172,Francis Akutey-Baffoe,4.25
5196,,4.5
5197,Taiwo Ehineni,5.0
5199,Taiwo Ehineni,3.8
5202,,4.63
3319,E. Gabriella Coleman,
3321,,5.0
3323,Damina Khaira,4.06
3290,Jason Ur,4.6
3294,Diana Loren,4.86
3296,David L. Carrasco,4.22
3298,Julia Fierman,4.67
3300,Julia Fierman,4.5
3302,Annikki Herranen-Tabibi,4.22
3304,Arthur Kleinman,4.56
3306,Anna Jabloner,4.73
3307,Joyhanna Garza,4.6
3308,Joseph Gone,4.54
3311,Kristine Richter,4.88
3311,Christina Warinner,4.88
3315,Steven Caton,4.88
3316,Anya Bernstein,4.67
3318,Nicholas Harkness,
3326,Mark Glickman,
3326,Pavlos Protopapas,3.9
3327,Michael Smith,3.97
3330,Daniel Weinstock,4.11
3347,Dina Obeid,3.4
3351,Cengiz Pehlevan,4.21
3332,Jeffrey Paten,4.69
3334,Robert Haussman,2.04
3335,Leslie Valiant,3.27
3336,Sarah Iams,4.12
3338,Zhiming Kuang,3.59
3339,Eli Tziperman,
3341,Sumit Sinha,4.33
3344,Melanie Weber,4.37
3348,L Mahadevan,
3349,Demba Ba,
3365,Doeke Hekstra,3.48
3365,Eric Mazur,3.48
3365,Giulia Semeghini,
3353,Donhee Ham,4.59
3357,Boris Kozinsky,4.2
3361,David Bell,4.46
3241,Abdi Farah,4.6
3269,Matt Saunders,
3273,Patrice Helmar,4.75
3274,Dawn Kim,5.0
3276,Robb Moss,5.0
3277,Ross McElwee,4.43
3280,Ruth Lingford,5.0
3281,Joana Pimenta,4.78
3282,Laura Frahm,3.91
3284,Katarina Burin,3.26
3245,Annette Lemieux,4.73
3246,Matt Saunders,3.88
3247,Abdi Farah,4.8
3248,chukwumaa --,4.14
3252,Patrice Helmar,4.83
3254,Ruth Lingford,
3255,Julie Mallozzi,4.14
3256,Joana Pimenta,
3259,John R. Stilgoe,4.73
3263,John R. Stilgoe,4.38
3264,Dennis Lim,4.5
3267,Stephen Prina,4.5
3268,David Joselit,4.67
3380,David Charbonneau,3.98
3380,Douglas Finkbeiner,3.98
3395,Gerhard Sonnert,4.72
3384,John Johnson,
3393,Irwin Shapiro,3.53
3396,Irwin Shapiro,4.0
3381,Edo Berger,
3386,John Kovac,4.33
3389,Lars Hernquist,3.5
3390,Karin Oberg,3.8
3394,Charles Conroy,4.83
3410,David Mooney,3.47
3411,Jia Liu,4.33
3412,Maurice Smith,3.91
3414,Martha Bulyk,3.11
3414,Peter Sorger,3.11
3414,Shamil Sunyaev,3.11
3415,Mark Andermann,4.0
3415,Haribabu Arthanari,4.0
3415,,5.0
3415,Michael Do,5.0
3415,,4.0
3415,Sahand Hormoz,4.0
3415,Radhika Subramanian,4.0
3417,Rui Wang,4.11
3419,Georg Hahn,4.13
3420,David Wypij,
3421,Rajarshi Mukherjee,4.67
3422,L. Wei,
3424,Jeffrey Miller,4.88
3425,Eric Franzosa,3.71
3425,Kelsey Thompson,3.71
3438,Natasha Sumner,
3440,Catherine McKenna,4.71
3463,Daniel Kahne,3.83
3463,Suzanne Walker,3.83
3578,Monique Selina Jennifer Brewster,4.0
3578,Dominic Mao,5.0
3580,Monique Selina Jennifer Brewster,4.07
3580,Dominic Mao,4.07
3456,Logan McCarty,4.67
3458,Brian Liau,3.77
3458,Sirinya Matchacheep,3.77
3462,Jarad Mason,4.27
3442,Mohamed Abdelazim Mohamed,4.88
3442,Heidi Vollmer-Snarr,4.88
3446,Dilek Dogutan Kiper,5.0
3447,Richard Liu,4.54
3448,Daniel Nocera,4.56
3451,Xiaowei Zhuang,
3453,Mohamed Abdelazim Mohamed,5.0
3461,Sirinya Matchacheep,
3461,Gregory Tucci,4.2
3461,Lu Wang,4.2
4784,James Anderson,
4784,Gregory Tucci,3.57
3495,Margaret Andrews,
3496,Margaret Andrews,
3497,,5.0
3501,Rachel Philbrick,
3498,Emma Dench,4.75
3498,Paul Kosmin,4.75
4227,Ivy Livingston,4.0
4222,Eric Driscoll,4.6
4224,David F. Elmer,5.0
4491,Ivy Livingston,3.63
4491,Ivy Livingston,
4484,,
4485,Rachel Philbrick,4.8
4487,Richard Thomas,4.63
4489,Eric Driscoll,
4631,Ivy Livingston,5.0
4644,Calliopi Dourou,5.0
4645,Calliopi Dourou,5.0
4642,Calliopi Dourou,
3518,Thomas Wisniewski,5.0
3502,John T. Hamilton,4.71
3503,Thomas Wisniewski,4.6
3505,Luke Leafgren,
3509,Annette Lienau,
3511,Gregory Nagy,
3512,Junting Huang,3.8
3513,Luis Giron Negron,4.5
3515,John T. Hamilton,5.0
3516,Karen Thornber,4.33
3519,Henry H. Leitner,3.83
3543,Kitty Ascrizzi,3.93
3543,Rebecca Nesson,3.93
3570,Kitty Ascrizzi,4.34
3570,Michael Smith,4.34
3572,David J. Malan,
3572,Carter Zenke,3.94
3572,David J. Malan,
3572,Carter Zenke,3.94
3572,David J. Malan,
3572,Carter Zenke,3.94
3572,David J. Malan,
3572,Carter Zenke,3.94
3573,Stuart Shieber,3.09
3573,Stuart Shieber,3.6
3577,Milind Tambe,4.67
3523,Mark Glickman,
3523,Pavlos Protopapas,3.9
3526,Adam Hesterberg,3.46
3526,Madhu Sudan,3.46
3528,Yiling Chen,
3529,Vijay Janapa Reddi,3.29
3530,H.T. Kung,2.8
3531,Minlan Yu,
3532,Stephen Chong,4.09
3535,Steven Gortler,3.67
3536,Elena Glassman,
3537,Weiwei Pan,3.57
3540,Harry Lewis,4.28
3541,Karen Brennan,
3544,Fabian Wermelinger,4.13
3546,Michael Mitzenmacher,4.5
3547,Cynthia Dwork,4.67
3549,Boaz Barak,4.0
3550,Salil Vadhan,4.63
3552,Leslie Valiant,
3554,Yannai Gonczarowski,4.82
3555,Ariel Procaccia,
3558,David Brooks,
3562,James Waldo,4.28
3563,Stratos Idreos,4.36
3564,Krzysztof Gajos,4.75
3566,Hima Lakkaraju,4.3
3569,Flavio Calmon,4.32
3569,John Girash,4.32
3569,Martin Wattenberg,4.32
3581,Jerry Mitrovica,4.8
3597,Nadja Drabon,4.25
3597,Javier Ortega-Hernandez,
3582,Eli Tziperman,4.31
3585,Daniel Jacob,4.74
3591,Eli Tziperman,5.0
3592,Robin Wordsworth,4.78
3594,Ann Pearson,5.0
4961,Brendan Meade,4.5
3483,Yuxiao Du,4.78
3483,Yuxiao Du,5.0
3483,Yuxiao Du,4.79
3483,Yuxiao Du,5.0
3483,Yuxiao Du,5.0
3483,Yuxiao Du,4.9
3465,David Sena,
3467,David Sena,5.0
3469,Bin Yang,4.88
3469,Bin Yang,4.57
3469,Bin Yang,4.92
3470,Fangzheng Zhang,4.85
3470,Fangzheng Zhang,4.81
3472,Wei Wang,4.5
3472,Wei Wang,4.5
3472,Wei Wang,4.55
3474,Xiaocheng Chen,
3474,Xiaocheng Chen,5.0
3476,Jennifer Li-Chia Liu,4.89
3480,Dan Wang,4.75
3481,Xiaofei Tian,4.79
3485,Michael Szonyi,3.9
3487,Michael Puett,5.0
3488,Michael Szonyi,4.86
3489,Thomas Kelly,4.87
3491,Thomas Kelly,
3492,Xiaofei Tian,4.8
3607,Melissa McCormick,4.53
3599,James Robson,
3600,Kwok-leong Tang,4.55
3601,Ryuichi Abe,4.78
3604,Daniel Koss,4.65
3606,Si Nae Park,4.6
4468,Yuko Kageyama-Hunt,
4468,Yuko Kageyama-Hunt,5.0
4468,Yuko Kageyama-Hunt,
4461,Chikako Takehara,4.0
4463,Mihoko Yagi,5.0
4463,Mihoko Yagi,4.75
4466,Naomi Asakura,5.0
4479,Hi-Sun Helen Kim,4.73
4479,Hi-Sun Helen Kim,4.85
4473,Ahsil Noh,4.75
4474,Jee Hyun Lee,4.82
4476,Jee Hyun Lee,4.83
5175,Hoa Le,5.0
5174,Hoa Le,5.0
3624,Anne Le Brun,3.68
3626,Thomas H. Baranga,4.04
3626,Jason Furman,4.04
3626,David Laibson,
3626,Anne Le Brun,4.04
3626,David Martin,4.04
3696,Gregory A. Bruich,4.21
3696,Raj Chetty,4.21
3699,Thomas H. Baranga,3.8
3699,,3.8
3699,Felipe Caicedo,4.8
3699,,4.8
3699,,
3699,Ross Mattheis,
3699,Michael Holcomb,4.5
3699,,4.5
3699,,3.83
3699,James Rice,3.83
3699,Ronak Jain,
3699,,5.0
3699,Cirrus Foroughi,5.0
3699,,5.0
3699,,4.67
3699,Molly Moore,4.67
3699,,4.88
3699,Andres Maggi,4.88
3699,John Felter,4.33
3699,,4.33
3699,John Felter,
3699,,4.33
3699,Manuel Hoffmann,3.6
3699,,3.6
3699,Cirrus Foroughi,
3699,,4.88
3700,Claudia Goldin,4.88
3700,Lawrence Katz,
3701,Nathaniel Hendren,
3702,Robert Barro,4.17
3703,Ariel Pakes,5.0
3705,Jeremy Stein,4.67
3707,Grace Finley,4.67
3707,,4.67
3707,,4.3
3707,Shreya Tandon,
3707,Kiran Gajwani,
3707,,3.67
3707,Aakaash Rao,3.67
3707,,5.0
3707,Martin Koenen,5.0
3707,,
3707,Slavik Sheremirov,4.63
3610,Marc Melitz,3.63
3612,Christopher Foote,3.39
3614,Gabriel Chodorow-Reich,4.11
3614,Ludwig Straub,4.11
3617,Matthew Rabin,2.8
3618,Judd Cramer,3.89
3619,Robert Neugeboren,4.0
3622,Michela Carlana,4.8
3628,Gregory A. Bruich,4.04
3631,Matthew Basilico,
3635,Andrei Shleifer,4.88
3637,Robert Barro,4.88
3637,Rachel McCleary,4.88
3640,Anusha Chari,4.62
3642,Elizabeth Mettetal,3.38
3643,Xavier Gabaix,3.62
3643,Matthew Pritsker,3.62
3644,Daniel Bergstresser,4.08
3645,Karen Dynan,4.57
3646,Jeremy Stein,4.41
3647,Denise DiPasquale,4.36
3647,Edward Glaeser,4.36
3648,Richard Freeman,4.33
3650,Jerry Green,3.79
3650,Tomasz Strzalecki,3.79
3652,Xavier Gabaix,4.42
3652,Ludwig Straub,4.42
3654,Christopher Avery,3.5
3654,Samuel Richardson,3.5
3655,David Laibson,
3655,Andrei Shleifer,3.89
3657,Shengwu Li,4.4
3658,Oliver Hart,4.67
3659,Yannai Gonczarowski,4.82
3661,Will Dobbie,
3663,Isaiah Andrews,4.45
3665,Aureo de Paula,4.33
3667,Raul Sanchez de la sierra,4.29
3669,Claudia Goldin,4.76
3669,Lawrence Katz,
3671,Melissa Dell,4.0
3672,Xavier Gabaix,4.2
3675,Nathaniel Hendren,
3676,David Cutler,4.6
3677,Pol Antras,4.75
3677,Marc Melitz,4.75
3679,Myrto Kalouptsidi,3.5
3679,Robin Lee,3.5
3682,Shai Bernstein,4.33
3682,Josh Lerner,4.33
3683,Samuel Hanson,4.86
3683,Adi Sunderam,4.86
3690,,
3690,,
3692,Marcella Alsan,4.0
3692,David Cutler,4.5
3693,John Campbell,4.8
3693,Xavier Gabaix,4.8
3693,Jeremy Stein,4.8
3694,,5.0
3694,,5.0
3694,Lawrence Katz,5.0
3711,Emmerich Davies,
3712,Beth Simpson,4.53
3713,Nadine Gaab,4.67
3765,Pia Sorensen,5.0
3784,Chris Lombardo,3.75
3784,Marko Loncar,3.75
3785,Seymur Hasanov,3.84
3787,Josh Lerner,4.51
3787,Josh Lerner,4.58
3789,Paul Bottino,3.92
3791,Robert Howe,3.19
3791,Kelly A. Miller,3.19
3729,Salma Abu Ayyash,3.56
3729,Benjamin Brown,3.56
3729,Leonardo Gomez,3.56
3729,Melissa Hancock,3.56
3729,Frank Keutsch,3.56
3729,Elaine Kristant,
3729,Chris Lombardo,3.56
3729,Jason Martinez,3.56
3729,,3.56
3729,Mohammad Souri,3.56
3729,Bryan Yoon,3.56
3731,Chris Lombardo,4.58
3733,Scot T. Martin,4.64
3734,Joost Vlassak,3.85
3736,Petros Koumoutsakos,
3738,Katia Bertoldi,
3740,Na Li,4.6
3743,Gu-Yeon Wei,4.09
3745,Flavio Calmon,4.5
3749,Evelyn Hu,
3749,Kiyoul Yang,5.0
3751,Xin Li,4.5
3754,Demba Ba,
3756,Samir Mitragotri,3.88
3759,Linsey Moyer,4.33
3759,Conor Walsh,4.33
3760,David Mooney,3.47
3761,Michael Aziz,
3763,Woodward Yang,4.1
3768,Maurice Smith,3.91
3770,Robert Wood,4.6
3772,Jia Liu,4.33
3777,Evelyn Hu,
3777,Kiyoul Yang,5.0
3779,Alan Maccormack,
3779,Russell J Wilcox,4.63
3781,Jenny Hoffman,4.58
3781,Suzanne Smith,4.58
3782,Fawwaz Habbal,3.5
3782,Kit Parker,3.5
3783,John Girash,4.4
3839,Paul Yoon,5.0
3840,Claire Messud,5.0
3842,Sam Marks,4.89
3843,Jorie Graham,4.78
3843,Jorie Graham,5.0
3845,Joshua Bell,5.0
3847,Nick White,4.78
3853,Claire Messud,4.9
3855,Joshua Bell,4.82
3857,Louisa Thomas,
3858,Louisa Thomas,4.9
3860,Musa Syeed,4.78
3862,Darcy Frey,5.0
3862,Darcy Frey,
3863,Meng Jin,4.78
3865,Paul Yoon,5.0
3868,Margaret Doherty,
3869,Nick White,4.78
3874,Valeria Luiselli,4.17
3875,Jamaica Kincaid,4.5
